,sacrum height,hump position,horn length,withers height,muzzle circumference,stripe mullet,body length,tail length,distance base horn,head length,sex,age,genotype
171,115.0,0,29.0,107.0,35.0,0,84.0,104.0,12.0,42.0,1,5.0,0
172,109.0,0,21.0,102.0,33.0,0,86.0,104.0,12.0,42.0,0,10.0,0
173,104.0,0,19.5,93.0,32.0,0,78.0,92.0,11.0,40.0,0,11.0,0
174,123.0,0,34.5,108.0,35.0,0,85.0,115.0,12.0,41.5,0,5.0,0
175,123.0,0,26.0,101.3,3.0,0,81.0,97.0,15.0,41.0,0,10.0,0
176,123.0,0,29.0,104.0,34.0,0,84.0,115.0,11.5,41.0,0,10.0,0
177,123.6,1,34.0,115.0,37.0,0,82.0,121.0,13.0,45.0,0,5.0,0
178,113.0,1,38.0,102.5,35.0,0,87.0,112.0,11.0,43.0,0,4.0,0
179,115.0,1,33.5,112.6,36.0,0,84.0,6.0,14.5,44.0,0,4.0,0
180,113.0,0,19.0,105.5,33.0,0,91.0,96.0,13.5,40.0,0,4.0,0
181,120.6,1,38.0,116.0,37.0,0,96.0,107.0,13.0,48.0,0,8.0,0
182,127.0,1,43.0,122.0,38.0,0,93.0,130.0,14.0,46.0,0,0.0,0
183,120.4,1,27.0,109.5,35.0,0,93.0,105.0,11.0,42.0,0,7.0,0
184,95.5,0,21.0,91.0,32.0,0,88.0,100.0,11.0,38.0,0,4.0,0
185,120.0,0,36.5,114.5,38.0,0,88.0,93.0,11.5,44.0,0,3.0,0
186,112.0,0,36.5,106.0,35.0,0,82.0,106.0,15.0,41.0,0,3.0,0
187,119.0,0,35.5,113.0,39.0,0,103.0,113.0,13.0,45.0,0,5.0,0
188,127.0,1,33.0,110.0,43.0,0,99.0,98.0,16.0,45.0,1,7.0,0
189,100.8,0,15.0,93.5,36.0,0,89.0,4.0,13.0,41.0,0,6.0,0
190,113.5,0,35.0,110.0,40.0,0,100.0,94.0,12.5,45.0,0,8.0,0
191,112.0,1,37.0,107.0,37.0,0,92.0,105.0,17.0,45.0,0,7.0,0
192,107.5,0,15.5,101.0,35.0,0,93.0,105.0,15.0,41.0,0,3.0,0
193,112.0,0,23.0,103.0,32.0,0,84.0,96.0,15.0,40.0,0,4.0,0
194,133.5,0,40.0,120.5,41.0,0,92.0,113.0,15.0,44.0,0,0.0,0
195,115.0,0,23.0,107.5,35.0,0,87.0,87.0,18.0,45.0,1,3.0,0
196,121.0,1,27.0,112.0,36.0,0,93.0,138.0,11.0,48.0,0,4.0,0
197,112.0,1,30.0,108.0,37.0,0,90.0,104.0,65.0,48.0,0,10.0,0
198,124.5,1,24.0,114.0,38.0,0,95.0,120.0,15.0,48.0,0,4.0,0
199,115.0,1,45.0,108.0,33.0,0,93.0,109.0,13.0,47.0,0,6.0,0
200,122.0,1,44.0,116.0,35.0,0,90.0,117.0,12.0,48.0,0,8.0,0
201,113.0,1,56.0,112.0,36.0,0,98.0,119.0,37.0,50.0,0,10.0,0
202,120.0,1,48.0,109.0,38.0,0,96.0,109.0,16.0,50.0,0,14.0,0
203,107.0,1,40.0,98.5,36.0,0,89.0,101.0,12.0,45.0,0,15.0,0
204,132.0,1,27.0,123.0,36.0,0,90.0,102.0,11.0,45.0,1,4.0,0
205,109.0,0,30.5,106.0,35.0,0,89.0,100.0,11.0,48.0,0,7.0,0
206,110.0,0,35.0,100.0,31.0,0,91.0,102.0,14.0,47.0,0,7.0,0
207,114.0,0,37.0,107.0,35.0,0,88.0,116.0,12.0,47.0,0,7.0,0
208,114.0,0,34.0,112.0,36.0,0,98.0,120.0,14.0,49.0,0,7.0,0
209,123.0,1,33.0,114.0,34.0,0,94.0,106.0,13.0,49.0,0,8.0,0
210,122.0,0,26.0,115.0,35.0,0,87.0,111.0,13.0,46.0,0,9.0,0
211,115.0,0,38.0,109.0,34.0,0,98.0,103.0,13.0,47.0,0,9.0,0
212,122.0,1,28.0,115.0,37.0,0,91.0,123.0,14.0,48.0,0,6.0,0
213,111.0,1,14.0,106.0,36.0,0,76.0,98.0,11.0,50.0,1,3.0,0
214,125.0,1,34.0,121.0,34.0,0,93.0,118.0,13.0,44.0,0,8.0,0
215,121.0,1,51.0,116.0,36.0,0,90.0,108.0,12.0,48.0,0,11.0,0
216,121.0,0,48.0,118.0,35.0,0,93.0,105.0,13.0,46.0,0,15.0,0
217,108.0,1,21.0,103.0,35.0,0,91.0,116.0,12.0,46.0,0,9.0,0
218,116.0,0,30.0,112.0,34.0,0,96.0,109.0,13.0,46.0,0,5.0,0
219,113.0,1,14.0,103.0,30.0,0,86.0,103.0,11.0,45.0,1,3.0,0
220,127.0,0,27.0,117.0,36.0,0,92.0,122.0,12.0,47.0,0,5.0,0
221,117.0,1,32.5,111.0,36.0,0,89.0,100.0,14.0,49.0,0,5.0,0
222,117.0,1,35.0,115.0,34.0,0,95.0,108.0,17.0,50.0,0,7.0,0
223,117.0,1,27.0,109.0,34.0,0,93.0,101.0,13.0,48.0,0,10.0,0
224,121.0,1,36.0,116.0,35.0,0,101.0,122.0,11.0,52.0,0,8.0,0
225,119.0,1,33.5,114.0,34.0,0,98.0,101.0,13.0,48.0,0,5.0,0
226,106.0,1,35.0,100.0,37.0,0,75.0,96.0,11.0,45.0,0,10.0,0
227,112.0,0,32.0,108.0,36.0,0,89.0,94.0,10.0,47.0,0,11.0,0
228,111.0,0,34.5,107.0,36.0,0,90.0,96.0,12.0,46.0,0,8.0,0
229,110.0,0,42.0,105.0,34.0,0,92.0,107.0,13.0,45.0,0,11.0,0
230,117.0,1,32.0,108.0,35.0,0,85.0,110.0,13.0,47.0,0,7.0,0
231,120.0,1,52.0,114.0,38.0,0,92.0,120.0,15.0,43.0,0,7.0,0
232,111.0,0,26.0,109.0,33.0,0,91.0,98.0,11.0,46.0,0,4.0,0
