,sacrum height,hump position,horn length,withers height,muzzle circumference,stripe mullet,body length,tail length,distance base horn,head length,sex,age,genotype
396,116.0,1,14.0,105.0,34.0,0,89.0,83.0,15.0,43.0,1,3.0,0
397,123.0,1,17.0,120.0,36.0,0,88.0,88.0,12.0,47.0,1,4.0,0
398,118.0,1,12.0,107.0,36.0,0,87.0,77.0,11.0,46.0,1,4.0,0
399,120.0,1,14.0,113.0,34.0,0,82.0,68.0,12.0,41.0,1,3.0,0
400,119.0,1,10.0,116.0,37.0,1,91.0,69.0,13.0,43.0,1,3.0,0
401,129.0,1,32.0,123.0,45.0,0,94.0,106.0,12.0,50.0,1,5.0,0
402,131.0,1,27.0,121.0,39.0,0,101.0,75.0,15.0,48.0,0,9.0,0
403,129.0,1,30.0,119.0,36.0,0,92.0,89.0,14.0,46.0,0,7.0,0
404,125.0,1,32.0,115.0,38.0,0,93.0,90.0,14.0,47.0,0,10.0,0
405,117.0,1,40.0,108.0,37.0,0,92.0,103.0,14.0,46.0,0,6.0,0
406,117.0,1,27.0,112.0,37.0,0,89.0,104.0,17.0,45.0,0,5.0,0
407,117.0,0,42.0,108.0,38.0,0,88.0,124.0,12.0,47.0,0,6.0,0
408,122.0,0,38.0,117.0,36.0,0,97.0,119.0,13.0,46.0,0,8.0,0
409,123.0,1,36.0,117.0,39.0,1,96.0,92.0,15.0,46.0,0,5.0,0
410,124.0,1,32.0,119.0,39.0,0,98.0,95.0,17.0,49.0,0,9.0,0
411,128.0,1,43.0,122.0,37.0,0,105.0,93.0,15.0,48.0,0,11.0,0
412,120.0,1,33.0,115.0,37.0,0,92.0,72.0,14.0,48.0,0,8.0,0
413,123.0,1,48.0,116.0,39.0,0,103.0,93.0,16.0,49.0,0,7.0,0
414,123.0,1,29.0,115.0,37.0,0,85.0,98.0,14.0,44.0,0,9.0,0
415,119.0,1,24.0,112.0,36.0,0,81.0,91.0,15.0,44.0,0,5.0,0
416,125.0,1,37.0,120.0,39.0,0,102.0,94.0,14.0,46.0,0,9.0,0
417,124.0,1,43.0,119.0,39.0,0,96.0,86.0,16.0,50.0,0,6.0,0
418,124.0,1,39.0,118.0,41.0,0,94.0,113.0,17.0,52.0,0,10.0,0
419,119.0,1,28.0,117.0,37.0,0,94.0,75.0,14.0,47.0,0,7.0,0
420,120.0,1,33.0,119.0,37.0,0,102.0,140.0,18.0,47.0,0,7.0,0
421,119.0,1,27.0,116.0,36.0,0,93.0,103.0,15.0,45.0,0,10.0,0
422,119.0,1,29.0,116.0,38.0,0,92.0,73.0,12.0,42.0,0,15.0,0
423,113.0,1,29.0,114.0,36.0,0,90.0,84.0,14.0,47.0,0,5.0,0
424,112.0,1,22.0,109.0,38.0,0,87.0,78.0,14.0,44.0,0,6.0,0
425,117.0,1,20.0,100.0,37.0,0,92.0,122.0,17.0,44.0,1,3.0,0
